1103.9,168.43,168.28
1108.9,163.54,163.39
1113.9,158.59,158.39
1118.9,153.59,153.44
1123.9,148.6,148.5
1128.9,143.85,143.45
1133.9,139.11,138.51
1138.9,133.76,133.56
1143.9,129.22,128.57
1148.9,123.87,123.67
1153.9,119.38,118.73
1158.9,113.98,113.83
1163.9,109.14,108.89
1168.9,104.24,103.94
1173.9,99.399,99.098
1178.9,94.604,94.303
1183.9,90.209,89.108
1188.9,85.014,84.313
1193.9,80.018,79.818
1198.8,75.424,75.123
1203.8,71.23,70.078
1208.8,66.034,65.684
1213.8,62.04,60.739
1218.8,57.445,56.144
1223.8,52.55,52.05
1228.8,48.556,47.455
1233.8,44.362,43.061
1238.8,40.268,39.367
1243.8,36.274,34.972
1248.8,31.88,31.079
1253.8,28.787,27.485
1258.8,25.293,24.092
1263.8,21.7,20.799
1268.8,19.208,17.806
1273.8,16.415,15.014
1278.8,13.523,12.522
1283.8,11.932,10.23
1288.8,10.141,8.3383
1293.8,8.6496,6.6472
1298.8,8.2601,5.1563
1303.7,6.569,4.166
1308.7,5.779,3.2759
1313.7,5.1892,2.586
1323.7,4.5103,1.7069
1333.7,4.1318,1.2282
1338.7,4.0426,1.0389
1353.7,3.8753,0.87163
1358.7,3.7862,0.88261
1363.7,3.7972,0.8936
1388.7,3.9522,0.84838
